model,ISO3,country_name,model_region,new
GCAM-Europe,bdi,Burundi,Africa_Eastern,no
GCAM-Europe,com,Comoros,Africa_Eastern,no
GCAM-Europe,dji,Djibouti,Africa_Eastern,no
GCAM-Europe,eri,Eritrea,Africa_Eastern,no
GCAM-Europe,eth,Ethiopia,Africa_Eastern,no
GCAM-Europe,ken,Kenya,Africa_Eastern,no
GCAM-Europe,mdg,Madagascar,Africa_Eastern,no
GCAM-Europe,mus,Mauritius,Africa_Eastern,no
GCAM-Europe,reu,Reunion,Africa_Eastern,no
GCAM-Europe,rwa,Rwanda,Africa_Eastern,no
GCAM-Europe,sdn,Sudan,Africa_Eastern,no
GCAM-Europe,som,Somalia,Africa_Eastern,no
GCAM-Europe,ssd,South Sudan,Africa_Eastern,no
GCAM-Europe,uga,Uganda,Africa_Eastern,no
GCAM-Europe,dza,Algeria,Africa_Northern,no
GCAM-Europe,egy,Egypt,Africa_Northern,no
GCAM-Europe,esh,Western Sahara,Africa_Northern,no
GCAM-Europe,lby,Libyan Arab Jamahiriya,Africa_Northern,no
GCAM-Europe,mar,Morocco,Africa_Northern,no
GCAM-Europe,tun,Tunisia,Africa_Northern,no
GCAM-Europe,ago,Angola,Africa_Southern,no
GCAM-Europe,bwa,Botswana,Africa_Southern,no
GCAM-Europe,lso,Lesotho,Africa_Southern,no
GCAM-Europe,moz,Mozambique,Africa_Southern,no
GCAM-Europe,mwi,Malawi,Africa_Southern,no
GCAM-Europe,nam,Namibia,Africa_Southern,no
GCAM-Europe,swz,Swaziland,Africa_Southern,no
GCAM-Europe,tza,Tanzania,Africa_Southern,no
GCAM-Europe,zmb,Zambia,Africa_Southern,no
GCAM-Europe,zwe,Zimbabwe,Africa_Southern,no
GCAM-Europe,ben,Benin,Africa_Western,no
GCAM-Europe,bfa,Burkina Faso,Africa_Western,no
GCAM-Europe,caf,Central African Republic,Africa_Western,no
GCAM-Europe,civ,Cote dIvoire,Africa_Western,no
GCAM-Europe,cmr,Cameroon,Africa_Western,no
GCAM-Europe,cod,Congo,Africa_Western,no
GCAM-Europe,cog,Congo,Africa_Western,no
GCAM-Europe,cpv,Cape Verde,Africa_Western,no
GCAM-Europe,gab,Gabon,Africa_Western,no
GCAM-Europe,gha,Ghana,Africa_Western,no
GCAM-Europe,gin,Guinea,Africa_Western,no
GCAM-Europe,gmb,Gambia,Africa_Western,no
GCAM-Europe,gnb,Guinea-Bissau,Africa_Western,no
GCAM-Europe,gnq,Equatorial Guinea,Africa_Western,no
GCAM-Europe,lbr,Liberia,Africa_Western,no
GCAM-Europe,mli,Mali,Africa_Western,no
GCAM-Europe,mrt,Mauritania,Africa_Western,no
GCAM-Europe,ner,Niger,Africa_Western,no
GCAM-Europe,nga,Nigeria,Africa_Western,no
GCAM-Europe,sen,Senegal,Africa_Western,no
GCAM-Europe,sle,Sierra Leone,Africa_Western,no
GCAM-Europe,stp,Sao Tome and Principe,Africa_Western,no
GCAM-Europe,tcd,Chad,Africa_Western,no
GCAM-Europe,tgo,Togo,Africa_Western,no
GCAM-Europe,arg,Argentina,Argentina,no
GCAM-Europe,flk,Falkland Islands (Malvinas),Argentina,no
GCAM-Europe,aus,Australia,Australia_NZ,no
GCAM-Europe,nzl,New Zealand,Australia_NZ,no
GCAM-Europe,aut,Austria,Austria,yes
GCAM-Europe,bel,Belgium,Belgium,yes
GCAM-Europe,bra,Brazil,Brazil,no
GCAM-Europe,bgr,Bulgaria,Bulgaria,yes
GCAM-Europe,can,Canada,Canada,no
GCAM-Europe,abw,Aruba,Central America and Caribbean,no
GCAM-Europe,aia,Anguilla,Central America and Caribbean,no
GCAM-Europe,ant,Netherlands Antilles,Central America and Caribbean,no
GCAM-Europe,atg,Antigua & Barbuda,Central America and Caribbean,no
GCAM-Europe,bhs,Bahamas,Central America and Caribbean,no
GCAM-Europe,blz,Belize,Central America and Caribbean,no
GCAM-Europe,bmu,Bermuda,Central America and Caribbean,no
GCAM-Europe,brb,Barbados,Central America and Caribbean,no
