"scenario","region","basin","year","Units","value"
"ARM_Reference","Africa_Eastern","AfrCstE",1975,"2015$",700835427.73265
"ARM_Reference","Africa_Eastern","AfrCstE",1990,"2015$",1213513329.245
"ARM_Reference","Africa_Eastern","AfrCstE",2005,"2015$",1718050040.245
"ARM_Reference","Africa_Eastern","AfrCstE",2010,"2015$",2020495975.77268
"ARM_Reference","Africa_Eastern","AfrCstE",2015,"2015$",2269434055
"ARM_Reference","Africa_Eastern","AfrCstE",2020,"2015$",2558982362.37493
"ARM_Reference","Africa_Eastern","AfrCstE",2025,"2015$",2864398629.90931
"ARM_Reference","Africa_Eastern","AfrCstE",2030,"2015$",3216586286.54702
"ARM_Reference","Africa_Eastern","AfrCstE",2035,"2015$",3456303282.54207
"ARM_Reference","Africa_Eastern","AfrCstE",2040,"2015$",3718618924.31405
"ARM_Reference","Africa_Eastern","AfrCstE",2045,"2015$",4006589675.24679
"ARM_Reference","Africa_Eastern","AfrCstE",2050,"2015$",4314750358.39714
"ARM_Reference","Africa_Eastern","AfrCstNE",1975,"2015$",72145947.66337
"ARM_Reference","Africa_Eastern","AfrCstNE",1990,"2015$",108336368.035
"ARM_Reference","Africa_Eastern","AfrCstNE",2005,"2015$",174006298.585
"ARM_Reference","Africa_Eastern","AfrCstNE",2010,"2015$",184558896.55791
"ARM_Reference","Africa_Eastern","AfrCstNE",2015,"2015$",199244590.615
"ARM_Reference","Africa_Eastern","AfrCstNE",2020,"2015$",248515160.408731
"ARM_Reference","Africa_Eastern","AfrCstNE",2025,"2015$",315195074.806353
"ARM_Reference","Africa_Eastern","AfrCstNE",2030,"2015$",387813091.190037
"ARM_Reference","Africa_Eastern","AfrCstNE",2035,"2015$",459154687.540658
"ARM_Reference","Africa_Eastern","AfrCstNE",2040,"2015$",538737932.55742
"ARM_Reference","Africa_Eastern","AfrCstNE",2045,"2015$",627372576.210015
"ARM_Reference","Africa_Eastern","AfrCstNE",2050,"2015$",725302813.779522
"ARM_Reference","Africa_Eastern","AfrIntN",1975,"2015$",254764.142675
"ARM_Reference","Africa_Eastern","AfrIntN",1990,"2015$",205953.475
"ARM_Reference","Africa_Eastern","AfrIntN",2005,"2015$",290563.455
"ARM_Reference","Africa_Eastern","AfrIntN",2010,"2015$",249062.9321845
"ARM_Reference","Africa_Eastern","AfrIntN",2015,"2015$",223687.555
"ARM_Reference","Africa_Eastern","AfrIntN",2020,"2015$",289127.84864005
"ARM_Reference","Africa_Eastern","AfrIntN",2025,"2015$",1847344.52976962
"ARM_Reference","Africa_Eastern","AfrIntN",2030,"2015$",2221785.02749574
"ARM_Reference","Africa_Eastern","AfrIntN",2035,"2015$",2769211.77495225
"ARM_Reference","Africa_Eastern","AfrIntN",2040,"2015$",3673063.9036329
"ARM_Reference","Africa_Eastern","AfrIntN",2045,"2015$",4904119.33565302
"ARM_Reference","Africa_Eastern","AfrIntN",2050,"2015$",6443289.95567523
"ARM_Reference","Africa_Eastern","CongoR",1975,"2015$",649547052.66955
"ARM_Reference","Africa_Eastern","CongoR",1990,"2015$",879862529.735
"ARM_Reference","Africa_Eastern","CongoR",2005,"2015$",969666334.035
"ARM_Reference","Africa_Eastern","CongoR",2010,"2015$",1119449258.57065
"ARM_Reference","Africa_Eastern","CongoR",2015,"2015$",1295952691.425
"ARM_Reference","Africa_Eastern","CongoR",2020,"2015$",1517583892.70152
"ARM_Reference","Africa_Eastern","CongoR",2025,"2015$",1749468817.99979
"ARM_Reference","Africa_Eastern","CongoR",2030,"2015$",2011429855.0881
"ARM_Reference","Africa_Eastern","CongoR",2035,"2015$",2249765707.61151
"ARM_Reference","Africa_Eastern","CongoR",2040,"2015$",2509316358.45788
"ARM_Reference","Africa_Eastern","CongoR",2045,"2015$",2793920110.18347
"ARM_Reference","Africa_Eastern","CongoR",2050,"2015$",3103417576.11515
"ARM_Reference","Africa_Eastern","LChad",1975,"2015$",405735743.84868
"ARM_Reference","Africa_Eastern","LChad",1990,"2015$",432865324.92
"ARM_Reference","Africa_Eastern","LChad",2005,"2015$",807686037.585
"ARM_Reference","Africa_Eastern","LChad",2010,"2015$",792774660.1817
"ARM_Reference","Africa_Eastern","LChad",2015,"2015$",770791865.48
"ARM_Reference","Africa_Eastern","LChad",2020,"2015$",986573589.446483
"ARM_Reference","Africa_Eastern","LChad",2025,"2015$",1210444015.13649
"ARM_Reference","Africa_Eastern","LChad",2030,"2015$",1459128523.29889
"ARM_Reference","Africa_Eastern","LChad",2035,"2015$",1681282849.25502
"ARM_Reference","Africa_Eastern","LChad",2040,"2015$",1945381909.51252
"ARM_Reference","Africa_Eastern","LChad",2045,"2015$",2249933278.85795
"ARM_Reference","Africa_Eastern","LChad",2050,"2015$",2582781769.21283
"ARM_Reference","Africa_Eastern","Madagascar",1975,"2015$",2701045784.6308
"ARM_Reference","Africa_Eastern","Madagascar",1990,"2015$",3232367252.625
"ARM_Reference","Africa_Eastern","Madagascar",2005,"2015$",3965673087.04
"ARM_Reference","Africa_Eastern","Madagascar",2010,"2015$",4772835466.2492
"ARM_Reference","Africa_Eastern","Madagascar",2015,"2015$",4572477238.875
"ARM_Reference","Africa_Eastern","Madagascar",2020,"2015$",5122125405.87589
"ARM_Reference","Africa_Eastern","Madagascar",2025,"2015$",5704890494.65814
"ARM_Reference","Africa_Eastern","Madagascar",2030,"2015$",6269647019.42589
"ARM_Reference","Africa_Eastern","Madagascar",2035,"2015$",6934081868.65072
"ARM_Reference","Africa_Eastern","Madagascar",2040,"2015$",7658477728.80797
"ARM_Reference","Africa_Eastern","Madagascar",2045,"2015$",8481653445.40257
"ARM_Reference","Africa_Eastern","Madagascar",2050,"2015$",9378828850.13262
"ARM_Reference","Africa_Eastern","NileR",1975,"2015$",16419776383.3019
"ARM_Reference","Africa_Eastern","NileR",1990,"2015$",18712910979.105
"ARM_Reference","Africa_Eastern","NileR",2005,"2015$",28065246950.265
"ARM_Reference","Africa_Eastern","NileR",2010,"2015$",30731195443.5794
"ARM_Reference","Africa_Eastern","NileR",2015,"2015$",30759037436.96
"ARM_Reference","Africa_Eastern","NileR",2020,"2015$",36167677031.2483
"ARM_Reference","Africa_Eastern","NileR",2025,"2015$",42623656398.2067
"ARM_Reference","Africa_Eastern","NileR",2030,"2015$",50158492859.2632
"ARM_Reference","Africa_Eastern","NileR",2035,"2015$",58391250918.3028
"ARM_Reference","Africa_Eastern","NileR",2040,"2015$",67965486129.4219
"ARM_Reference","Africa_Eastern","NileR",2045,"2015$",78922784125.431
"ARM_Reference","Africa_Eastern","NileR",2050,"2015$",91027222096.6368
"ARM_Reference","Africa_Eastern","RiftValley",1975,"2015$",2204454669.59095
"ARM_Reference","Africa_Eastern","RiftValley",1990,"2015$",3139476636.31
"ARM_Reference","Africa_Eastern","RiftValley",2005,"2015$",5340779166.975
"ARM_Reference","Africa_Eastern","RiftValley",2010,"2015$",6730728897.23325
"ARM_Reference","Africa_Eastern","RiftValley",2015,"2015$",8447303274.095
"ARM_Reference","Africa_Eastern","RiftValley",2020,"2015$",9261047640.11394
"ARM_Reference","Africa_Eastern","RiftValley",2025,"2015$",10035445456.6486
"ARM_Reference","Africa_Eastern","RiftValley",2030,"2015$",10861695876.8539
"ARM_Reference","Africa_Eastern","RiftValley",2035,"2015$",11966430620.7533
"ARM_Reference","Africa_Eastern","RiftValley",2040,"2015$",13239051633.9528
"ARM_Reference","Africa_Eastern","RiftValley",2045,"2015$",14709874999.7497
"ARM_Reference","Africa_Eastern","RiftValley",2050,"2015$",16374200063.5569
"ARM_Reference","Africa_Eastern","ShebJubR",1975,"2015$",1475770243.3699
"ARM_Reference","Africa_Eastern","ShebJubR",1990,"2015$",2199616382.18
"ARM_Reference","Africa_Eastern","ShebJubR",2005,"2015$",3298560961.92
"ARM_Reference","Africa_Eastern","ShebJubR",2010,"2015$",4055315716.86745
"ARM_Reference","Africa_Eastern","ShebJubR",2015,"2015$",4894115425.78
"ARM_Reference","Africa_Eastern","ShebJubR",2020,"2015$",5619699873.15495
"ARM_Reference","Africa_Eastern","ShebJubR",2025,"2015$",6369936742.56541
